ID	Uniprot
MLXIP	Q9HAP2
ADA2	Q9NZK5
ZFAT	Q9P243
ZNF711	Q9Y462
ZNF213	O14771
NR3C1	P04150
ATF6	P18850
HOXD11	P31277
ETV5	P41161
RFX3	P48380
HMGA2	P52926
ZNF280A	P59817
NHLH1	Q02575
SRSF1	Q07955
FOXM1	Q08050
MTA1	Q13330
KLF5	Q13887
BRD3	Q15059
ZBED5	Q49AG3
ZNF621	Q6ZSS3
PBRM1	Q86U86
ZNF516	Q92618
PMEPA1	Q969W9
NFKBIZ	Q9BYH8
FEZF1	A0PJY2
ZSCAN5C	A6NGD5
MBTPS2	O43462
CBX6	O95503
HOXB7	P09629
RARA	P10276
ZNF7	P17097
CDK2	P24941
BRCA2	P51587
ORC1	Q13415
NFYC	Q13952
TFDP2	Q14188
ZIK1	Q3SY52
MIER3	Q7Z3K6
KMT2C	Q8NEZ4
SP7	Q8TDD2
BCLAF1	Q9NYF8
TSC22D4	Q9Y3Q8
MORC2	Q9Y6X9
SNAI1	O95863
SOD1	P00441
MAPK3	P27361
ASCL1	P50553
SATB1	Q01826
EMX1	Q04741
EGR3	Q06889
POU2AF1	Q16633
ZBTB49	Q6ZSB9
CARM1	Q86X55
ZFP82	Q8N141
PROX1	Q92786
ATOH1	Q92858
