PlasmidNames	PlateIndexs	WellIndexs	TrimmedReads	AlignedReads	CorrectReads	expectedSeqs	max_n_reads_s	max_n_reads_names	expected	letter	number
PGADT7	2	D11	2262	113	0	NA	22	ENSG00000169016	NA	D	11
AD2U	2	D12	8229	481	0	NA	67	P03256	NA	D	12
PGADT7	2	D12	3591	111	0	NA	24	ENSG00000169016	NA	D	12
AD2U	2	E01	1703	410	0	NA	72	P03256	NA	E	01
PGADT7	2	E01	23513	8972	8483	ENSG00000105392	8483	ENSG00000105392	Yes	E	01
AD2U	2	E02	27062	2219	0	P20998	912	Q9JFM0	No	E	02
PGADT7	2	E02	24899	9009	8477	ENSG00000105392	8477	ENSG00000105392	Yes	E	02
AD2U	2	E03	181	55	0	Q2HR83	13	P03256	No	E	03
PGADT7	2	E03	3409	73	0	NA	11	ENSG00000169016	NA	E	03
AD2U	2	E04	44940	1838	0	Q77Q82	312	P03256	No	E	04
PGADT7	2	E04	1478	127	0	NA	30	ENSG00000169016	NA	E	04
AD2U	2	E05	6194	1274	0	NA	210	P03256	NA	E	05
PGADT7	2	E05	77256	24472	507	ENSG00000141510	22828	ENSG00000169016	No	E	05
AD2U	2	E06	8093	2516	21	Q2HR73	417	P03256	No	E	06
PGADT7	2	E06	165176	15644	12907	ENSG00000290292	12907	ENSG00000290292	Yes	E	06
AD2U	2	E07	117346	45166	40911	Q9JFM0	40911	Q9JFM0	Yes	E	07
PGADT7	2	E07	46472	6584	5520	ENSG00000290292	5520	ENSG00000290292	Yes	E	07
AD2U	2	E08	47318	13034	0	Q77Q82	10707	ENSG00000171223	No	E	08
PGADT7	2	E08	7553	2475	2166	ENSG00000126456	2166	ENSG00000126456	Yes	E	08
AD2U	2	E09	3445	192	0	NA	41	ENSG00000197024	NA	E	09
PGADT7	2	E09	81	9	1	ENSG00000101412	2	ENSG00000158773	No	E	09
AD2U	2	E10	25876	12937	11909	P11806	11909	P11806	Yes	E	10
PGADT7	2	E10	713	153	7	ENSG00000143190	83	ENSG00000168286	No	E	10
AD2U	2	E11	4871	245	0	NA	40	P03256	NA	E	11
PGADT7	2	E11	3345	85	0	NA	12	ENSG00000162772	NA	E	11
AD2U	2	E12	3186	212	0	NA	28	P03256	NA	E	12
PGADT7	2	E12	2058	78	0	NA	12	ENSG00000169016	NA	E	12
AD2U	2	F01	38358	17180	15452	P03410	15452	P03410	Yes	F	01
PGADT7	2	F01	905	116	0	NA	29	ENSG00000169016	NA	F	01
AD2U	2	F02	53050	28462	26426	P03255	26426	P03255	Yes	F	02
PGADT7	2	F02	29275	10025	9329	ENSG00000158773	9329	ENSG00000158773	Yes	F	02
AD2U	2	F03	99807	53204	49788	P0C746	49788	P0C746	Yes	F	03
PGADT7	2	F03	1648	254	14	ENSG00000123268	55	ENSG00000169016	No	F	03
AD2U	2	F04	91	31	20	P06921	20	P06921	Yes	F	04
PGADT7	2	F04	8	1	0	ENSG00000245848	1	ENSG00000169016	No	F	04
AD2U	2	F05	1080	241	0	NA	39	P03256	NA	F	05
PGADT7	2	F05	508	45	0	NA	8	ENSG00000169016	NA	F	05
AD2U	2	F06	80672	43391	40025	P03259	40025	P03259	Yes	F	06
PGADT7	2	F06	4139	299	0	ENSG00000185591	72	ENSG00000169016	No	F	06
AD2U	2	F07	32002	1324	0	P20998	224	P03256	No	F	07
PGADT7	2	F07	616	95	0	NA	25	ENSG00000169016	NA	F	07
AD2U	2	F08	45658	22582	20576	P03120	20576	P03120	Yes	F	08
PGADT7	2	F08	20429	7497	6995	ENSG00000105392	6995	ENSG00000105392	Yes	F	08
AD2U	2	F09	3467	967	0	NA	151	P03256	NA	F	09
PGADT7	2	F09	68765	21965	20867	ENSG00000162772	20867	ENSG00000162772	Yes	F	09
AD2U	2	F10	103338	27278	23461	P06788	23461	P06788	Yes	F	10
PGADT7	2	F10	21113	5263	4644	ENSG00000290292	4644	ENSG00000290292	Yes	F	10
AD2U	2	F11	21874	11418	10536	P28276	10536	P28276	Yes	F	11
PGADT7	2	F11	1923	100	0	NA	23	ENSG00000169016	NA	F	11
AD2U	2	F12	1301	88	0	NA	12	P03259	NA	F	12
PGADT7	2	F12	624	28	0	NA	8	ENSG00000169016	NA	F	12
AD2U	2	G01	25801	13596	12507	P03259	12507	P03259	Yes	G	01
PGADT7	2	G01	6192	1829	1610	ENSG00000077092	1610	ENSG00000077092	Yes	G	01
AD2U	2	G02	28	17	0	P03255	15	ENSG00000123268	No	G	02
PGADT7	2	G02	6	0	0	ENSG00000118260	NA	NA	NA	G	02
AD2U	2	G03	3153	413	0	NA	72	P03256	NA	G	03
PGADT7	2	G03	1598	84	0	NA	14	ENSG00000162772	NA	G	03
AD2U	2	G04	53034	27327	24334	P0C746	24334	P0C746	Yes	G	04
